k,inertia,silhouette
2,1658.758852429095,0.25931695553182543
3,1277.9284888446423,0.2848589191898987
4,1175.3518813658284,0.2586075384934024
5,1107.0073434603985,0.23152834284691684
6,1046.0023332143637,0.23716725754166543
7,981.5952326111657,0.2036275812271175
8,935.2012114738543,0.1570139556393107
